KOI,KOIpl,kepoi_name,Sep,Teff1,Teff2,Rstar1,Rstar2,Mstar1_est,Mstar2_est,Rppri,Rpsec,koi_period,koi_dor,koi_duration,koi_impact,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec,usable
1422,1422.04,K01422.04,0.22,3665,3371,0.414,0.276138,0.3320859,0.20017403,1.44,2.03,63.3354719,136.2,3.651,0.029,8.461991119947799,2.9262832727572787,4.6800385,9.506686,0.32339474432965676,0.6766052556703432,True
1422,1422.05,K01422.05,0.22,3665,3371,0.414,0.276138,0.3320859,0.20017403,1.29,1.81,34.1420506,90.33,2.945,0.105,8.49477912974258,1.5516866560473,4.6800385,9.506686,0.08368818009601757,0.9163118199039825,True
1436,1436.01,K01436.01,0.15,5763,3578,0.918,0.3672,0.8985729,0.2858435,1.22,4.92,2.508553286,8.587,2.2664,0.009,1.3518017098618287,0.2866694903526715,1.1615163,5.7732496,0.9999907032418971,9.296758102869792e-06,True
1436,1436.02,K01436.02,0.15,5763,3578,0.918,0.3672,0.8985729,0.2858435,1.6,6.42,13.75129636,25.96,3.853,0.359,1.242974001017768,1.106036187346319,1.1615163,5.7732496,0.9945014514235736,0.0054985485764263075,True
1436,1436.03,K01436.03,0.15,5763,3578,0.918,0.3672,0.8985729,0.2858435,1.34,5.38,5.41908491,15.26,2.3379,0.536,1.6257245088796994,1.374301845645355,1.1615163,5.7732496,0.9609651285165293,0.039034871483470755,True
1491,1491.01,,0.05,5398,4936,0.806,0.720564,0.763693,0.6638817,1.96,2.43,,,,,,,1.4585243,1.7744877,,,False
1506,1506.01,K01506.01,1.15,5848,3805,0.938,0.47744203,0.92311025,0.3968723,3.02,10.05,40.4286676,24.0,7.102,0.872,0.11362924784064665,0.1605013125749134,1.1185232,3.6466062,0.999946708102583,5.3291897417011954e-05,True
1521,1521.01,K01521.01,0.06,5374,4732,0.814,0.703296,0.7731798,0.6440546,1.76,2.44,25.9421582,41.4,4.045,0.577,1.4165244677611508,1.7244645694483576,1.4335315,1.851434,0.5077370116556442,0.49226298834435583,True
1531,1531.01,K01531.01,0.38,6089,4798,1.021,0.667734,1.0263186,0.6036072,1.36,2.43,5.69919592,18.429,2.3906,0.007,2.5888888219523105,0.4142727839783691,0.9642839,2.0274208,0.0019131876213465816,0.9980868123786534,True
1589,1589.01,K01589.01,0.18,6228,5647,1.108,0.87642807,1.1367755,0.84799904,3.44,4.22,8.72585478,7.0,4.473,0.911,0.06052202102747515,0.0855954297388577,0.8357095,1.2596402,0.9751268903106279,0.02487310968937206,True
1589,1589.02,K01589.02,0.18,6228,5647,1.108,0.87642807,1.1367755,0.84799904,3.8,4.64,12.88291395,6.24,5.676,0.962,0.019668028144307445,0.029312926561227443,0.8357095,1.2596402,0.7186052483763574,0.28139475162364264,True
1589,1589.03,K01589.03,0.18,6228,5647,1.108,0.87642807,1.1367755,0.84799904,3.06,3.79,27.4345973,34.3,5.038,0.603,0.720311659398636,0.8316134609966759,0.8357095,1.2596402,0.5474964927079746,0.45250350729202543,True
1589,1589.04,K01589.04,0.18,6228,5647,1.108,0.87642807,1.1367755,0.84799904,1.91,2.37,4.22453631,6.15,3.128,0.823,0.17510660053192015,0.23062820557862654,0.8357095,1.2596402,0.9692133307894983,0.030786669210501605,True
1589,1589.05,K01589.05,0.18,6228,5647,1.108,0.87642807,1.1367755,0.84799904,2.72,3.39,44.5520266,42.6,6.0,0.689,0.5232739717166957,0.7517457058465205,0.8357095,1.2596402,0.5907855495913037,0.4092144504086963,True
1613,1613.01,,0.21,6676,5813,1.345,0.93881005,1.4484478,0.9241068,1.53,2.04,,,,,,,0.59530014,1.1168349,,,False
1613,1613.02,,0.21,6676,5813,1.345,0.93881005,1.4484478,0.9241068,1.05,1.4,,,,,,,0.59530014,1.1168349,,,False
1613,1613.03,,0.21,6676,5813,1.345,0.93881005,1.4484478,0.9241068,0.99,1.32,,,,,,,0.59530014,1.1168349,,,False
1630,1630.01,,1.68,6065,5410,1.069,0.884063,1.0869814,0.8572431,0.88,1.13,,,,,,,0.88979304,1.2406645,,,False
1648,1648.01,K01648.01,0.15,5727,4866,0.91,0.72527003,0.8887953,0.6693059,2.79,4.16,38.3262237,33.3,3.073,0.963,0.33773487142922937,0.5081236353935253,1.1794446,1.7543873,0.8630498471988778,0.1369501528011222,True
1656,1656.01,K01656.01,1.06,6485,5175,1.245,0.77937,1.3151088,0.7322841,3.85,6.31,51.3901452,26.0,5.995,0.946,0.08941196066393761,0.13308626452670713,0.68148077,1.5468513,0.9998195787945516,0.00018042120544839674,True
1677,1677.01,K01677.01,0.6,6420,3979,1.229,0.556737,1.2940166,0.48090866,2.91,10.14,52.069002,130.1,3.0089,0.275,10.912107764843498,5.384760326694486,0.6970826,2.7868419,0.33915821704797955,0.6608417829520205,True
1677,1677.02,,0.6,6420,3979,1.229,0.556737,1.2940166,0.48090866,0.8,2.8,,,,,,,0.6970826,2.7868419,,,False
1681,1681.01,K01681.01,0.15,3695,3660,0.43,0.41882,0.34820545,0.3369258,2.0,2.07,6.93910337,6.5,2.977,0.966,0.07662467045003915,0.1131687440492886,4.379557,4.58619,0.5216241516650417,0.4783758483349582,True
1681,1681.02,K01681.02,0.15,3695,3660,0.43,0.41882,0.34820545,0.3369258,9.73,10.03,1.992812339,1.971,2.066,1.127,0.02590373148987357,0.03887531088130189,4.379557,4.58619,0.5046166724312027,0.49538332756879727,True
1681,1681.03,K01681.03,0.15,3695,3660,0.43,0.41882,0.34820545,0.3369258,15.11,15.7,3.53105835,3.46,1.778,1.213,0.04463276290921157,0.06578817654247947,4.379557,4.58619,0.5097213355519679,0.4902786644480322,True
