KOI,KOIpl,kepoi_name,Sep,dmi,e_dmi,dmK,e_dmK,Teff1,E_Teff1,e_Teff1,Rstar1,E_Rstar1,e_Rstar1,Teff2,E_Teff2,e_Teff2,Rstar2,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Mstar1_est,Mstar2_est,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec
1061,1061.01,K01061.01,1.22,,,,,6367,69,59,1.195,0.029,0.03,5633,73,69,0.88908005,0.744,0.011,0.012,1.2494242,0.8633285,1.48,0.48,0.48,1.92,0.62,0.62,41.8059544,0.0002153,-0.0002153,53.71,3.5,-3.5,6.057,0.147,-0.147,0.029,0.428,-0.029,434.4,17.8,-17.8,1.1910347590828272,0.2328405319376221,0.7321602,1.2284387,0.1707079712475594,0.8292920287524407
1101,1101.01,K01101.01,1.71,,,2.35,0.06,5068,53,54,0.746,0.012,0.011,3608,20,21,0.375984,0.504,0.006,0.006,0.6933037,0.29441622,1.62,0.25,0.24,4.64,0.67,0.69,11.39102358,8.858e-05,-8.858e-05,26.9,12.0,-12.0,2.303,0.198,-0.198,0.732,0.239,-0.515,448.6,50.8,-50.8,2.0154248183804158,2.6972228052674705,1.6699637,5.5392838,0.6838103831071716,0.3161896168928284
1150,1150.01,K01150.01,0.4,2.41,0.39,,,6316,88,106,1.173,0.051,0.057,4888,118,121,0.74133605,0.632,0.019,0.017,1.2207382,0.6878899,1.1,0.25,0.24,2.0,0.48,0.46,0.677374687,1.098e-06,-1.098e-06,2.8794,0.0981,-0.0981,1.8361,0.0399,-0.0399,0.132,0.335,-0.132,76.7,2.3,-2.3,0.6990099186726032,0.0714449604311131,0.75635993,1.6883931,0.9990675838268128,0.0009324161731872
1151,1151.01,K01151.01,0.75,3.49,0.58,2.37,0.11,5592,46,46,0.847,0.008,0.009,3679,34,33,0.409948,0.484,0.018,0.017,0.8125578,0.32802802,1.22,0.15,0.14,4.12,0.48,0.48,10.43547031,2.685e-05,-2.685e-05,23.3,2.5,-2.5,3.4167,0.0598,-0.0598,0.174,0.257,-0.174,210.2,6.0,-6.0,1.5605546190231754,0.5023244481834256,1.3372235,4.7612906,0.998686128908946,0.0013138710910539
1151,1151.02,K01151.02,0.75,3.49,0.58,2.37,0.11,5592,46,46,0.847,0.008,0.009,3679,34,33,0.409948,0.484,0.018,0.017,0.8125578,0.32802802,0.94,0.11,0.11,3.17,0.37,0.37,7.41084314,3.098e-05,-3.098e-05,17.6,1.0,-1.0,3.245,0.0965,-0.0965,0.064,0.384,-0.064,124.1,5.2,-5.2,1.3336381963619213,0.2273246925616911,1.3372235,4.7612906,0.999971262255251,2.873774474896344e-05
1151,1151.03,K01151.03,0.75,3.49,0.58,2.37,0.11,5592,46,46,0.847,0.008,0.009,3679,34,33,0.409948,0.484,0.018,0.017,0.8125578,0.32802802,0.67,0.07,0.08,2.25,0.27,0.26,5.24970432,3.439e-05,-3.439e-05,14.27,3.0,-3.0,2.746,0.147,-0.147,0.248,0.199,-0.248,61.9,5.0,-5.0,1.4165682279594003,0.8934207464355012,1.3372235,4.7612906,0.9862353740168814,0.0137646259831184
1151,1151.04,K01151.04,0.75,3.49,0.58,2.37,0.11,5592,46,46,0.847,0.008,0.009,3679,34,33,0.409948,0.484,0.018,0.017,0.8125578,0.32802802,0.76,0.08,0.09,2.56,0.29,0.3,17.4532945,0.0001511,-0.0001511,31.2,12.7,-12.7,4.027,0.207,-0.207,0.357,0.093,-0.357,79.3,7.0,-7.0,1.3395046091467415,1.635741205400348,1.3372235,4.7612906,0.8626729522202643,0.1373270477797356
1151,1151.05,K01151.05,0.75,3.49,0.58,2.37,0.11,5592,46,46,0.847,0.008,0.009,3679,34,33,0.409948,0.484,0.018,0.017,0.8125578,0.32802802,0.8,0.09,0.09,2.69,0.31,0.31,21.7203362,0.0003087,-0.0003087,37.4,10.6,-10.6,4.252,0.37,-0.37,0.311,0.15,-0.311,87.8,8.1,-8.1,1.489762314858189,1.2666962997992093,1.3372235,4.7612906,0.9257832646871964,0.0742167353128035
1214,1214.01,K01214.01,0.34,,,2.46,0.06,5926,73,71,0.995,0.03,0.025,3911,44,40,0.520385,0.523,0.009,0.01,0.9937539,0.44198343,1.2,0.37,0.35,3.7,1.05,1.08,4.24153629,2.203e-05,-2.203e-05,10.7,2.3,-2.3,2.971,0.147,-0.147,0.257,0.187,-0.257,188.1,12.4,-12.4,0.9148296310207416,0.5899368648638427,1.0088105,3.1364012,0.986903847707348,0.0130961522926519
1261,1261.01,K01261.01,1.81,1.58,0.05,,,6335,52,55,1.159,0.026,0.026,5223,71,75,0.735965,0.635,0.009,0.008,1.2025533,0.6816657,10.13,1.7,1.66,15.58,2.65,2.68,133.460999,0.0002571,-0.0002571,91.8,10.3,-10.3,11.4997,0.0691,-0.0691,0.249,0.043,-0.249,5032.9,32.4,-32.4,0.5835184130639987,0.1964130606065093,0.7724208,1.7100152,0.9967831137120624,0.0032168862879377
